item_id,item_name,category,household_id,timestamp,quantity_consumed,unit,day_of_week,is_weekend,month,season,is_holiday
ITM001,Milk,Dairy,HH001,2026-01-07,0.96,liters,2,0,1,winter,0
ITM001,Milk,Dairy,HH001,2026-01-13,0.79,liters,1,0,1,winter,0
ITM001,Milk,Dairy,HH001,2026-01-18,1.28,liters,6,1,1,winter,0
ITM001,Milk,Dairy,HH001,2026-01-23,0.85,liters,4,0,1,winter,0
ITM001,Milk,Dairy,HH001,2026-01-25,1.29,liters,6,1,1,winter,0
ITM001,Milk,Dairy,HH001,2026-01-29,0.62,liters,3,0,1,winter,0
ITM001,Milk,Dairy,HH001,2026-02-01,1.09,liters,6,1,2,winter,0
ITM001,Milk,Dairy,HH001,2026-02-08,0.92,liters,6,1,2,winter,0
ITM001,Milk,Dairy,HH001,2026-02-13,1.1,liters,4,0,2,winter,0
ITM001,Milk,Dairy,HH001,2026-02-18,1.19,liters,2,0,2,winter,0
ITM001,Milk,Dairy,HH001,2026-02-20,0.89,liters,4,0,2,winter,0
ITM001,Milk,Dairy,HH001,2026-02-24,1.09,liters,1,0,2,winter,0
ITM001,Milk,Dairy,HH001,2026-02-26,0.86,liters,3,0,2,winter,0
ITM001,Milk,Dairy,HH001,2026-03-08,0.92,liters,6,1,3,spring,1
ITM001,Milk,Dairy,HH001,2026-03-10,0.48,liters,1,0,3,spring,0
ITM001,Milk,Dairy,HH001,2026-03-11,0.41,liters,2,0,3,spring,0
ITM001,Milk,Dairy,HH001,2026-03-12,0.3,liters,3,0,3,spring,0
ITM001,Milk,Dairy,HH001,2026-03-19,0.38,liters,3,0,3,spring,0
ITM001,Milk,Dairy,HH001,2026-03-26,0.35,liters,3,0,3,spring,0
ITM001,Milk,Dairy,HH001,2026-03-27,0.34,liters,4,0,3,spring,0
ITM001,Milk,Dairy,HH001,2026-04-05,0.4,liters,6,1,4,spring,0
ITM001,Milk,Dairy,HH001,2026-04-08,0.35,liters,2,0,4,spring,0
ITM001,Milk,Dairy,HH001,2026-04-11,0.51,liters,5,1,4,spring,0
ITM001,Milk,Dairy,HH001,2026-04-13,0.43,liters,0,0,4,spring,0
ITM001,Milk,Dairy,HH001,2026-04-14,0.48,liters,1,0,4,spring,1
ITM001,Milk,Dairy,HH001,2026-04-18,0.38,liters,5,1,4,spring,0
ITM001,Milk,Dairy,HH001,2026-04-20,0.34,liters,0,0,4,spring,0
ITM001,Milk,Dairy,HH001,2026-05-03,0.44,liters,6,1,5,spring,0
ITM001,Milk,Dairy,HH001,2026-05-06,0.32,liters,2,0,5,spring,0
ITM001,Milk,Dairy,HH001,2026-05-09,0.47,liters,5,1,5,spring,0
ITM001,Milk,Dairy,HH001,2026-05-10,0.42,liters,6,1,5,spring,0
ITM001,Milk,Dairy,HH001,2026-05-12,0.32,liters,1,0,5,spring,0
ITM001,Milk,Dairy,HH001,2026-05-18,0.43,liters,0,0,5,spring,0
ITM001,Milk,Dairy,HH001,2026-05-20,0.29,liters,2,0,5,spring,0
ITM001,Milk,Dairy,HH001,2026-05-25,0.39,liters,0,0,5,spring,0
ITM001,Milk,Dairy,HH001,2026-05-26,0.46,liters,1,0,5,spring,0
ITM001,Milk,Dairy,HH001,2026-05-31,0.55,liters,6,1,5,spring,0
ITM001,Milk,Dairy,HH001,2026-06-02,0.41,liters,1,0,6,summer,0
ITM001,Milk,Dairy,HH001,2026-06-15,0.33,liters,0,0,6,summer,0
ITM001,Milk,Dairy,HH001,2026-06-18,0.42,liters,3,0,6,summer,0
ITM001,Milk,Dairy,HH001,2026-06-22,0.36,liters,0,0,6,summer,0
ITM001,Milk,Dairy,HH001,2026-06-25,0.39,liters,3,0,6,summer,0
ITM001,Milk,Dairy,HH001,2026-06-28,0.32,liters,6,1,6,summer,0
ITM001,Milk,Dairy,HH002,2026-01-11,1.69,liters,6,1,1,winter,0
ITM001,Milk,Dairy,HH002,2026-01-14,0.81,liters,2,0,1,winter,0
ITM001,Milk,Dairy,HH002,2026-01-23,0.79,liters,4,0,1,winter,0
ITM001,Milk,Dairy,HH002,2026-01-24,1.39,liters,5,1,1,winter,0
ITM001,Milk,Dairy,HH002,2026-01-27,0.93,liters,1,0,1,winter,0
ITM001,Milk,Dairy,HH002,2026-01-28,1.38,liters,2,0,1,winter,0
ITM001,Milk,Dairy,HH002,2026-02-03,0.84,liters,1,0,2,winter,0
ITM001,Milk,Dairy,HH002,2026-02-07,1.76,liters,5,1,2,winter,0
ITM001,Milk,Dairy,HH002,2026-02-08,1.63,liters,6,1,2,winter,0
ITM001,Milk,Dairy,HH002,2026-02-17,0.84,liters,1,0,2,winter,0
ITM001,Milk,Dairy,HH002,2026-02-25,1.06,liters,2,0,2,winter,0
ITM001,Milk,Dairy,HH002,2026-03-02,0.66,liters,0,0,3,spring,0
ITM001,Milk,Dairy,HH002,2026-03-05,0.53,liters,3,0,3,spring,0
ITM001,Milk,Dairy,HH002,2026-03-07,0.49,liters,5,1,3,spring,0
ITM001,Milk,Dairy,HH002,2026-03-11,0.6,liters,2,0,3,spring,0
ITM001,Milk,Dairy,HH002,2026-03-12,0.56,liters,3,0,3,spring,0
ITM001,Milk,Dairy,HH002,2026-03-14,0.64,liters,5,1,3,spring,0
ITM001,Milk,Dairy,HH002,2026-03-17,0.39,liters,1,0,3,spring,0
ITM001,Milk,Dairy,HH002,2026-03-19,0.43,liters,3,0,3,spring,0
ITM001,Milk,Dairy,HH002,2026-03-22,0.53,liters,6,1,3,spring,0
ITM001,Milk,Dairy,HH002,2026-03-26,0.48,liters,3,0,3,spring,0
ITM001,Milk,Dairy,HH002,2026-03-28,0.53,liters,5,1,3,spring,0
ITM001,Milk,Dairy,HH002,2026-04-05,0.61,liters,6,1,4,spring,0
ITM001,Milk,Dairy,HH002,2026-04-09,0.37,liters,3,0,4,spring,0
ITM001,Milk,Dairy,HH002,2026-04-11,0.74,liters,5,1,4,spring,0
ITM001,Milk,Dairy,HH002,2026-04-14,0.82,liters,1,0,4,spring,1
ITM001,Milk,Dairy,HH002,2026-04-15,0.39,liters,2,0,4,spring,0
ITM001,Milk,Dairy,HH002,2026-04-16,0.51,liters,3,0,4,spring,0
ITM001,Milk,Dairy,HH002,2026-04-17,0.36,liters,4,0,4,spring,0
ITM001,Milk,Dairy,HH002,2026-04-19,0.56,liters,6,1,4,spring,0
ITM001,Milk,Dairy,HH002,2026-04-25,0.5,liters,5,1,4,spring,0
ITM001,Milk,Dairy,HH002,2026-04-27,0.49,liters,0,0,4,spring,0
ITM001,Milk,Dairy,HH002,2026-04-28,0.36,liters,1,0,4,spring,0
ITM001,Milk,Dairy,HH002,2026-05-01,0.75,liters,4,0,5,spring,1
ITM001,Milk,Dairy,HH002,2026-05-04,0.49,liters,0,0,5,spring,0
ITM001,Milk,Dairy,HH002,2026-05-06,0.46,liters,2,0,5,spring,0
ITM001,Milk,Dairy,HH002,2026-05-10,0.32,liters,6,1,5,spring,0
ITM001,Milk,Dairy,HH002,2026-05-14,0.43,liters,3,0,5,spring,0
ITM001,Milk,Dairy,HH002,2026-05-18,0.48,liters,0,0,5,spring,0
ITM001,Milk,Dairy,HH002,2026-05-27,0.37,liters,2,0,5,spring,0
ITM001,Milk,Dairy,HH002,2026-05-29,0.21,liters,4,0,5,spring,0
ITM001,Milk,Dairy,HH002,2026-06-01,0.44,liters,0,0,6,summer,0
ITM001,Milk,Dairy,HH002,2026-06-05,0.56,liters,4,0,6,summer,0
ITM001,Milk,Dairy,HH002,2026-06-11,0.37,liters,3,0,6,summer,0
ITM001,Milk,Dairy,HH002,2026-06-12,0.53,liters,4,0,6,summer,0
ITM001,Milk,Dairy,HH002,2026-06-14,0.57,liters,6,1,6,summer,0
ITM001,Milk,Dairy,HH002,2026-06-18,0.4,liters,3,0,6,summer,0
ITM001,Milk,Dairy,HH002,2026-06-21,0.7,liters,6,1,6,summer,0
ITM001,Milk,Dairy,HH002,2026-06-23,0.49,liters,1,0,6,summer,0
ITM001,Milk,Dairy,HH002,2026-06-27,0.61,liters,5,1,6,summer,0
ITM001,Milk,Dairy,HH002,2026-06-28,0.48,liters,6,1,6,summer,0
ITM001,Milk,Dairy,HH003,2026-01-03,2.05,liters,5,1,1,winter,0
ITM001,Milk,Dairy,HH003,2026-01-06,0.94,liters,1,0,1,winter,0
ITM001,Milk,Dairy,HH003,2026-01-11,0.91,liters,6,1,1,winter,0
ITM001,Milk,Dairy,HH003,2026-01-12,1.63,liters,0,0,1,winter,0
ITM001,Milk,Dairy,HH003,2026-01-15,0.87,liters,3,0,1,winter,0
ITM001,Milk,Dairy,HH003,2026-01-30,0.88,liters,4,0,1,winter,0
ITM001,Milk,Dairy,HH003,2026-02-01,1.26,liters,6,1,2,winter,0
ITM001,Milk,Dairy,HH003,2026-02-11,0.54,liters,2,0,2,winter,0
ITM001,Milk,Dairy,HH003,2026-02-14,2.2,liters,5,1,2,winter,0
ITM001,Milk,Dairy,HH003,2026-02-15,1.37,liters,6,1,2,winter,0
ITM001,Milk,Dairy,HH003,2026-02-20,1.34,liters,4,0,2,winter,0
ITM001,Milk,Dairy,HH003,2026-02-23,0.77,liters,0,0,2,winter,0
ITM001,Milk,Dairy,HH003,2026-02-25,0.89,liters,2,0,2,winter,0
ITM001,Milk,Dairy,HH003,2026-02-27,1.73,liters,4,0,2,winter,0
ITM001,Milk,Dairy,HH003,2026-03-09,0.47,liters,0,0,3,spring,0
ITM001,Milk,Dairy,HH003,2026-03-13,0.55,liters,4,0,3,spring,0
ITM001,Milk,Dairy,HH003,2026-03-15,0.53,liters,6,1,3,spring,0
ITM001,Milk,Dairy,HH003,2026-03-16,0.53,liters,0,0,3,spring,0
ITM001,Milk,Dairy,HH003,2026-03-21,0.91,liters,5,1,3,spring,0
ITM001,Milk,Dairy,HH003,2026-03-30,0.78,liters,0,0,3,spring,0
ITM001,Milk,Dairy,HH003,2026-03-31,0.51,liters,1,0,3,spring,0
ITM001,Milk,Dairy,HH003,2026-04-06,0.39,liters,0,0,4,spring,0
ITM001,Milk,Dairy,HH003,2026-04-07,0.64,liters,1,0,4,spring,0
ITM001,Milk,Dairy,HH003,2026-04-08,0.48,liters,2,0,4,spring,0
ITM001,Milk,Dairy,HH003,2026-04-12,0.53,liters,6,1,4,spring,0
ITM001,Milk,Dairy,HH003,2026-04-17,0.48,liters,4,0,4,spring,0
ITM001,Milk,Dairy,HH003,2026-04-26,0.75,liters,6,1,4,spring,0
ITM001,Milk,Dairy,HH003,2026-04-29,0.51,liters,2,0,4,spring,0
ITM001,Milk,Dairy,HH003,2026-04-30,0.63,liters,3,0,4,spring,0
ITM001,Milk,Dairy,HH003,2026-05-01,0.77,liters,4,0,5,spring,1
ITM001,Milk,Dairy,HH003,2026-05-04,0.56,liters,0,0,5,spring,0
ITM001,Milk,Dairy,HH003,2026-05-07,0.58,liters,3,0,5,spring,0
ITM001,Milk,Dairy,HH003,2026-05-23,0.96,liters,5,1,5,spring,0
ITM001,Milk,Dairy,HH003,2026-05-26,0.58,liters,1,0,5,spring,0
ITM001,Milk,Dairy,HH003,2026-05-31,0.68,liters,6,1,5,spring,0
ITM001,Milk,Dairy,HH003,2026-06-02,0.52,liters,1,0,6,summer,0
ITM001,Milk,Dairy,HH003,2026-06-06,0.91,liters,5,1,6,summer,1
ITM001,Milk,Dairy,HH003,2026-06-09,0.65,liters,1,0,6,summer,0
ITM001,Milk,Dairy,HH003,2026-06-12,0.72,liters,4,0,6,summer,0
ITM001,Milk,Dairy,HH003,2026-06-14,0.85,liters,6,1,6,summer,0
ITM001,Milk,Dairy,HH003,2026-06-15,0.52,liters,0,0,6,summer,0
ITM001,Milk,Dairy,HH003,2026-06-16,0.5,liters,1,0,6,summer,0
ITM001,Milk,Dairy,HH003,2026-06-17,0.47,liters,2,0,6,summer,0
ITM001,Milk,Dairy,HH003,2026-06-20,0.68,liters,5,1,6,summer,0
ITM001,Milk,Dairy,HH003,2026-06-28,0.69,liters,6,1,6,summer,0
ITM001,Milk,Dairy,HH003,2026-06-29,0.52,liters,0,0,6,summer,0
ITM001,Milk,Dairy,HH004,2026-01-03,2.4,liters,5,1,1,winter,0
ITM001,Milk,Dairy,HH004,2026-01-08,1.46,liters,3,0,1,winter,0
ITM001,Milk,Dairy,HH004,2026-01-10,2.2,liters,5,1,1,winter,0
ITM001,Milk,Dairy,HH004,2026-01-13,1.59,liters,1,0,1,winter,0
ITM001,Milk,Dairy,HH004,2026-01-14,1.61,liters,2,0,1,winter,0
ITM001,Milk,Dairy,HH004,2026-01-16,1.05,liters,4,0,1,winter,0
ITM001,Milk,Dairy,HH004,2026-01-19,1.23,liters,0,0,1,winter,0
ITM001,Milk,Dairy,HH004,2026-01-22,1.25,liters,3,0,1,winter,0
ITM001,Milk,Dairy,HH004,2026-01-24,1.45,liters,5,1,1,winter,0
ITM001,Milk,Dairy,HH004,2026-01-25,1.41,liters,6,1,1,winter,0
ITM001,Milk,Dairy,HH004,2026-02-01,1.86,liters,6,1,2,winter,0
ITM001,Milk,Dairy,HH004,2026-02-07,2.13,liters,5,1,2,winter,0
ITM001,Milk,Dairy,HH004,2026-02-15,1.93,liters,6,1,2,winter,0
ITM001,Milk,Dairy,HH004,2026-02-17,1.56,liters,1,0,2,winter,0
ITM001,Milk,Dairy,HH004,2026-02-18,1.15,liters,2,0,2,winter,0
ITM001,Milk,Dairy,HH004,2026-02-20,1.28,liters,4,0,2,winter,0
ITM001,Milk,Dairy,HH004,2026-03-03,0.56,liters,1,0,3,spring,0
ITM001,Milk,Dairy,HH004,2026-03-04,0.67,liters,2,0,3,spring,0
ITM001,Milk,Dairy,HH004,2026-03-24,0.47,liters,1,0,3,spring,0
ITM001,Milk,Dairy,HH004,2026-03-26,0.48,liters,3,0,3,spring,0
ITM001,Milk,Dairy,HH004,2026-03-27,0.39,liters,4,0,3,spring,0
ITM001,Milk,Dairy,HH004,2026-03-31,0.61,liters,1,0,3,spring,0
ITM001,Milk,Dairy,HH004,2026-04-13,0.56,liters,0,0,4,spring,0
ITM001,Milk,Dairy,HH004,2026-04-17,0.54,liters,4,0,4,spring,0
ITM001,Milk,Dairy,HH004,2026-04-24,0.7,liters,4,0,4,spring,0
ITM001,Milk,Dairy,HH004,2026-04-27,0.55,liters,0,0,4,spring,0
ITM001,Milk,Dairy,HH004,2026-04-28,0.75,liters,1,0,4,spring,0
ITM001,Milk,Dairy,HH004,2026-04-29,0.58,liters,2,0,4,spring,0
ITM001,Milk,Dairy,HH004,2026-05-02,0.93,liters,5,1,5,spring,0
ITM001,Milk,Dairy,HH004,2026-05-03,0.95,liters,6,1,5,spring,0
ITM001,Milk,Dairy,HH004,2026-05-09,0.98,liters,5,1,5,spring,0
ITM001,Milk,Dairy,HH004,2026-05-12,0.54,liters,1,0,5,spring,0
