item_id,item_name,category,household_id,quantity,min_stock_level,mean_daily_usage,daily_usage_variance,refill_lead_time_days,target_label
ITM002,Eggs,Dairy,HH014,1.04,1.52,0.45,0.124,4,1
ITM014,Orange Juice,Beverages,HH010,4.26,0.88,0.137,0.108,5,0
ITM002,Eggs,Dairy,HH007,4.1,1.1,0.499,0.095,1,1
ITM010,Bananas,Produce,HH002,8.82,1.37,0.304,0.043,1,0
ITM002,Eggs,Dairy,HH018,7.18,1.16,0.487,0.186,2,0
ITM004,Rice,Grains,HH020,1.3,0.33,0.075,0.011,2,0
ITM011,Cereal,Pantry,HH015,1.26,0.4,0.063,0.01,1,0
ITM010,Bananas,Produce,HH015,1.52,1.21,0.175,0.034,2,1
ITM003,Bread,Bakery,HH007,8.15,1.41,0.417,0.307,1,0
ITM010,Bananas,Produce,HH014,4.87,1.54,0.452,0.356,1,0
ITM012,Cooking Oil,Pantry,HH009,0.58,0.1,0.058,0.025,2,0
ITM010,Bananas,Produce,HH020,2.71,1.21,0.186,0.087,1,1
ITM006,Chicken Breast,Meat,HH004,5.86,1.01,0.377,0.16,2,0
ITM009,Cheese,Dairy,HH019,1.28,0.32,0.138,0.092,3,0
ITM007,Tomatoes,Produce,HH002,0.48,0.83,0.402,0.152,1,1
ITM015,Butter,Dairy,HH016,0.7,0.27,0.079,0.03,4,1
ITM007,Tomatoes,Produce,HH017,6.78,1.32,0.382,0.279,2,0
ITM009,Cheese,Dairy,HH005,1.43,0.21,0.075,0.045,3,0
ITM001,Milk,Dairy,HH008,13.15,2.3,0.929,0.287,5,0
ITM008,Yogurt,Dairy,HH018,2.01,1.42,0.653,0.151,2,1
ITM004,Rice,Grains,HH010,1.5,0.31,0.095,0.047,1,0
ITM002,Eggs,Dairy,HH009,6.15,0.99,0.645,0.15,1,0
ITM014,Orange Juice,Beverages,HH014,2.75,1.14,0.37,0.117,5,1
ITM003,Bread,Bakery,HH009,3.44,1.02,0.771,0.444,2,1
ITM009,Cheese,Dairy,HH019,0.9,0.29,0.181,0.072,5,1
ITM006,Chicken Breast,Meat,HH012,3.55,0.71,0.211,0.14,5,0
ITM014,Orange Juice,Beverages,HH020,5.73,0.86,0.136,0.056,1,0
ITM008,Yogurt,Dairy,HH013,8.68,1.85,0.649,0.166,3,0
ITM011,Cereal,Pantry,HH003,0.78,0.25,0.091,0.062,3,1
ITM002,Eggs,Dairy,HH020,2.08,0.85,0.281,0.195,1,1
ITM007,Tomatoes,Produce,HH014,1.75,0.9,0.516,0.298,2,1
ITM008,Yogurt,Dairy,HH002,2.91,1.65,0.45,0.116,4,1
ITM005,Ice Cream,Frozen,HH018,3.76,0.61,0.179,0.034,3,0
ITM007,Tomatoes,Produce,HH017,2.92,1.31,0.358,0.072,3,1
ITM002,Eggs,Dairy,HH019,7.42,1.28,0.4,0.11,4,0
ITM008,Yogurt,Dairy,HH014,8.88,1.31,0.905,0.45,4,0
ITM004,Rice,Grains,HH020,1.91,0.46,0.113,0.071,4,0
ITM003,Bread,Bakery,HH011,2.76,1.04,0.402,0.062,4,1
ITM001,Milk,Dairy,HH018,15.0,2.36,0.52,0.088,1,0
ITM010,Bananas,Produce,HH013,0.82,0.9,0.561,0.291,4,1
ITM005,Ice Cream,Frozen,HH003,0.43,0.47,0.262,0.139,2,1
ITM007,Tomatoes,Produce,HH003,0.46,0.88,0.533,0.117,1,1
ITM005,Ice Cream,Frozen,HH016,3.63,0.8,0.136,0.057,4,0
ITM001,Milk,Dairy,HH006,5.03,2.38,0.396,0.07,2,1
ITM009,Cheese,Dairy,HH015,1.23,0.35,0.051,0.025,1,0
ITM006,Chicken Breast,Meat,HH020,0.91,0.82,0.171,0.066,3,1
ITM013,Frozen Peas,Frozen,HH004,0.45,0.55,0.212,0.118,5,1
ITM001,Milk,Dairy,HH011,4.57,1.66,0.616,0.134,2,1
ITM014,Orange Juice,Beverages,HH005,4.89,0.9,0.205,0.14,2,0
ITM006,Chicken Breast,Meat,HH008,6.61,0.97,0.31,0.181,4,0
ITM014,Orange Juice,Beverages,HH014,5.6,1.13,0.472,0.324,1,0
ITM004,Rice,Grains,HH016,3.4,0.52,0.143,0.078,1,0
ITM004,Rice,Grains,HH003,0.91,0.33,0.212,0.098,3,1
ITM003,Bread,Bakery,HH005,12.79,1.84,0.318,0.118,3,0
